Date,Close
21/10/2019,50.700001
22/10/2019,51.116001
23/10/2019,50.936001
24/10/2019,59.936001
25/10/2019,65.625999
28/10/2019,65.542
29/10/2019,63.243999
30/10/2019,63.001999
31/10/2019,62.984001
1/11/2019,62.661999
4/11/2019,63.493999
5/11/2019,63.444
6/11/2019,65.316002
7/11/2019,67.108002
8/11/2019,67.428001
11/11/2019,69.017998
12/11/2019,69.986
13/11/2019,69.222
14/11/2019,69.870003
15/11/2019,70.433998
18/11/2019,69.998001
19/11/2019,71.903999
20/11/2019,70.444
21/11/2019,70.966003
22/11/2019,66.608002
25/11/2019,67.267998
26/11/2019,65.783997
27/11/2019,66.258003
29/11/2019,65.987999
2/12/2019,66.973999
3/12/2019,67.239998
4/12/2019,66.606003
5/12/2019,66.073997
6/12/2019,67.178001
9/12/2019,67.905998
10/12/2019,69.767998
11/12/2019,70.540001
12/12/2019,71.935997
13/12/2019,71.678001
16/12/2019,76.300003
17/12/2019,75.797997
18/12/2019,78.629997
19/12/2019,80.807999
20/12/2019,81.117996
23/12/2019,83.844002
24/12/2019,85.050003
26/12/2019,86.188004
27/12/2019,86.075996
30/12/2019,82.940002
31/12/2019,83.666
2/01/2020,86.052002
3/01/2020,88.601997
6/01/2020,90.307999
7/01/2020,93.811996
8/01/2020,98.428001
9/01/2020,96.267998
10/01/2020,95.629997
13/01/2020,104.972
14/01/2020,107.584
15/01/2020,103.699997
16/01/2020,102.697998
17/01/2020,102.099998
21/01/2020,109.440002
22/01/2020,113.912003
23/01/2020,114.440002
24/01/2020,112.963997
27/01/2020,111.603996
28/01/2020,113.379997
29/01/2020,116.197998
30/01/2020,128.162003
31/01/2020,130.113998
3/02/2020,156
4/02/2020,177.412003
5/02/2020,146.940002
6/02/2020,149.792007
7/02/2020,149.613998
10/02/2020,154.255997
11/02/2020,154.876007
12/02/2020,153.457993
13/02/2020,160.800003
14/02/2020,160.005997
18/02/2020,171.679993
19/02/2020,183.483994
20/02/2020,179.882004
21/02/2020,180.199997
24/02/2020,166.757996
25/02/2020,159.981995
26/02/2020,155.759995
27/02/2020,135.800003
28/02/2020,133.598007
2/03/2020,148.723999
3/03/2020,149.102005
4/03/2020,149.899994
5/03/2020,144.908005
6/03/2020,140.695999
9/03/2020,121.599998
10/03/2020,129.065994
11/03/2020,126.846001
12/03/2020,112.110001
13/03/2020,109.323997
16/03/2020,89.014
17/03/2020,86.040001
18/03/2020,72.244003
19/03/2020,85.528
20/03/2020,85.505997
23/03/2020,86.858002
24/03/2020,101
25/03/2020,107.849998
26/03/2020,105.632004
27/03/2020,102.872002
30/03/2020,100.426003
31/03/2020,104.800003
1/04/2020,96.311996
2/04/2020,90.893997
3/04/2020,96.001999
6/04/2020,103.248001
7/04/2020,109.089996
8/04/2020,109.767998
9/04/2020,114.599998
13/04/2020,130.190002
